OCC,SOCXX,OCCUPATION
4830,413041,Travel Agents
4840,413099,"Sales Representatives, Services, All Other"
4850,414010,"Sales Representatives, Wholesale and Manufacturing"
4900,419010,"Models, Demonstrators, and Product Promoters"
4920,419020,Real Estate Brokers and Sales Agents
4930,419031,Sales Engineers
4940,419041,Telemarketers
4950,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
4960,419099,"Sales and Related Workers, All Other"
4965,419099,"Sales and Related Workers, All Other"
5000,431011,First-Line Supervisors of Office and Administrative Support Workers
5010,432011,"Switchboard Operators, Including Answering Service"
5020,432021,Telephone Operators
5030,432099,"Communications Equipment Operators, All Other"
5100,433011,Bill and Account Collectors
5110,433021,Billing and Posting Clerks
5120,433031,"Bookkeeping, Accounting, and Auditing Clerks"
5130,433041,Gaming Cage Workers
5140,433051,Payroll and Timekeeping Clerks
5150,433061,Procurement Clerks
5160,433071,Tellers
5165,433099,"Financial Clerks, All Other"
5200,434011,Brokerage Clerks
5210,434XXX,Order Clerks
5220,434031,"Court, Municipal, and License Clerks"
5230,434041,"Credit Authorizers, Checkers, and Clerks"
5240,434051,Customer Service Representatives
5250,434061,"Eligibility Interviewers, Government Programs"
5260,434071,File Clerks
5300,434081,"Hotel, Motel, and Resort Desk Clerks"
5310,434111,"Interviewers, Except Eligibility and Loan"
5320,434121,"Library Assistants, Clerical"
5330,434131,Loan Interviewers and Clerks
5340,434141,New Account Clerks
5350,434XXX,Order Clerks
5360,434161,"Human Resources Assistants, Except Payroll and Timekeeping"
5400,434171,Receptionists and Information Clerks
5410,434181,Reservation and Transportation Ticket Agents and Travel Clerks
5420,434199,"Information and Record Clerks, All Other"
5500,435011,Cargo and Freight Agents
5510,435021,Couriers and Messengers
5520,435030,Dispatchers
5530,435041,"Meter Readers, Utilities"
5540,435051,Postal Service Clerks
5550,435052,Postal Service Mail Carriers
5560,435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
5600,435061,"Production, Planning, and Expediting Clerks"
5610,435071,"Shipping, Receiving, and Traffic Clerks"
5620,435081,Stock Clerks and Order Fillers
